seq,ros_time_sec,wall_time_iso,source,topic,height_cm,array_ground_height_cm,point_height_cm,pair_age_sec,drop_cm
1,1779458604.366940498,2026-05-22T22:03:24.366,point_fc,/height,1,,1,,
2,1779458604.367389917,2026-05-22T22:03:24.367,point_fc,/height,1,,1,,
3,1779458604.367742062,2026-05-22T22:03:24.367,point_fc,/height,1,,1,,
4,1779458604.369021416,2026-05-22T22:03:24.369,array_ground,/laser_array/ground_height,11,11,1,0.001279,1.000
5,1779458604.372803926,2026-05-22T22:03:24.372,point_fc,/height,1,11,1,0.003783,1.000
6,1779458604.377954960,2026-05-22T22:03:24.377,point_fc,/height,1,11,1,0.008934,1.000
7,1779458604.382788658,2026-05-22T22:03:24.382,point_fc,/height,1,11,1,0.013767,1.000
8,1779458604.385298252,2026-05-22T22:03:24.385,array_ground,/laser_array/ground_height,11,11,1,0.002510,1.000
9,1779458604.388179779,2026-05-22T22:03:24.388,point_fc,/height,1,11,1,0.002882,1.000
10,1779458604.393331766,2026-05-22T22:03:24.393,point_fc,/height,1,11,1,0.008034,1.000
11,1779458604.398718357,2026-05-22T22:03:24.398,point_fc,/height,1,11,1,0.013420,1.000
12,1779458604.401247501,2026-05-22T22:03:24.401,array_ground,/laser_array/ground_height,11,11,1,0.002529,1.000
13,1779458604.403503418,2026-05-22T22:03:24.403,point_fc,/height,1,11,1,0.002256,1.000
14,1779458604.409048319,2026-05-22T22:03:24.409,point_fc,/height,1,11,1,0.007801,1.000
15,1779458604.413492203,2026-05-22T22:03:24.413,point_fc,/height,1,11,1,0.012245,1.000
16,1779458604.417301416,2026-05-22T22:03:24.417,array_ground,/laser_array/ground_height,11,11,1,0.003809,1.000
17,1779458604.418035984,2026-05-22T22:03:24.418,point_fc,/height,1,11,1,0.000735,1.000
18,1779458604.423241138,2026-05-22T22:03:24.423,point_fc,/height,1,11,1,0.005940,1.000
19,1779458604.427889347,2026-05-22T22:03:24.427,point_fc,/height,1,11,1,0.010588,1.000
20,1779458604.433520794,2026-05-22T22:03:24.433,point_fc,/height,1,11,1,0.016219,1.000
21,1779458604.434668541,2026-05-22T22:03:24.434,array_ground,/laser_array/ground_height,11,11,1,0.001148,1.000
22,1779458604.438193321,2026-05-22T22:03:24.438,point_fc,/height,1,11,1,0.003525,1.000
23,1779458604.443003893,2026-05-22T22:03:24.443,point_fc,/height,1,11,1,0.008335,1.000
24,1779458604.447968721,2026-05-22T22:03:24.448,point_fc,/height,1,11,1,0.013300,1.000
25,1779458604.448832273,2026-05-22T22:03:24.448,array_ground,/laser_array/ground_height,11,11,1,0.000864,1.000
26,1779458604.452913761,2026-05-22T22:03:24.452,point_fc,/height,1,11,1,0.004081,1.000
27,1779458604.457941294,2026-05-22T22:03:24.457,point_fc,/height,1,11,1,0.009109,1.000
28,1779458604.463567734,2026-05-22T22:03:24.463,point_fc,/height,1,11,1,0.014735,1.000
29,1779458604.465350866,2026-05-22T22:03:24.465,array_ground,/laser_array/ground_height,11,11,1,0.001783,1.000
30,1779458604.468994141,2026-05-22T22:03:24.469,point_fc,/height,1,11,1,0.003643,1.000
31,1779458604.473463774,2026-05-22T22:03:24.473,point_fc,/height,1,11,1,0.008113,1.000
32,1779458604.478433847,2026-05-22T22:03:24.478,point_fc,/height,1,11,1,0.013083,1.000
33,1779458604.480848312,2026-05-22T22:03:24.480,array_ground,/laser_array/ground_height,11,11,1,0.002414,1.000
34,1779458604.483162403,2026-05-22T22:03:24.483,point_fc,/height,1,11,1,0.002314,1.000
35,1779458604.488138676,2026-05-22T22:03:24.488,point_fc,/height,1,11,1,0.007290,1.000
36,1779458604.493015528,2026-05-22T22:03:24.493,point_fc,/height,1,11,1,0.012167,1.000
37,1779458604.496791363,2026-05-22T22:03:24.496,array_ground,/laser_array/ground_height,11,11,1,0.003776,1.000
38,1779458604.497983456,2026-05-22T22:03:24.498,point_fc,/height,1,11,1,0.001192,1.000
39,1779458604.503176451,2026-05-22T22:03:24.503,point_fc,/height,1,11,1,0.006385,1.000
40,1779458604.507933855,2026-05-22T22:03:24.507,point_fc,/height,1,11,1,0.011142,1.000
41,1779458604.512599707,2026-05-22T22:03:24.512,array_ground,/laser_array/ground_height,11,11,1,0.004666,1.000
42,1779458604.513323307,2026-05-22T22:03:24.513,point_fc,/height,1,11,1,0.000724,1.000
43,1779458604.518404007,2026-05-22T22:03:24.518,point_fc,/height,1,11,1,0.005804,1.000
44,1779458604.523319721,2026-05-22T22:03:24.523,point_fc,/height,1,11,1,0.010720,1.000
45,1779458604.528699398,2026-05-22T22:03:24.528,point_fc,/height,1,11,1,0.016100,1.000
46,1779458604.533245802,2026-05-22T22:03:24.533,point_fc,/height,1,11,1,0.020646,1.000
47,1779458604.538243532,2026-05-22T22:03:24.538,point_fc,/height,1,11,1,0.025644,1.000
48,1779458604.544384003,2026-05-22T22:03:24.544,point_fc,/height,1,11,1,0.031784,1.000
49,1779458604.545757532,2026-05-22T22:03:24.545,array_ground,/laser_array/ground_height,11,11,1,0.001374,1.000
50,1779458604.548210144,2026-05-22T22:03:24.548,point_fc,/height,1,11,1,0.002453,1.000
51,1779458604.553322792,2026-05-22T22:03:24.553,point_fc,/height,1,11,1,0.007565,1.000
52,1779458604.557989597,2026-05-22T22:03:24.558,point_fc,/height,1,11,1,0.012232,1.000
53,1779458604.562842369,2026-05-22T22:03:24.562,point_fc,/height,1,11,1,0.017085,1.000
54,1779458604.567888021,2026-05-22T22:03:24.567,point_fc,/height,1,11,1,0.022130,1.000
55,1779458604.573389769,2026-05-22T22:03:24.573,point_fc,/height,1,11,1,0.027632,1.000
56,1779458604.574722528,2026-05-22T22:03:24.574,array_ground,/laser_array/ground_height,11,11,1,0.001333,1.000
57,1779458604.578381300,2026-05-22T22:03:24.578,point_fc,/height,1,11,1,0.003659,1.000
58,1779458604.583109856,2026-05-22T22:03:24.583,point_fc,/height,1,11,1,0.008387,1.000
59,1779458604.588041544,2026-05-22T22:03:24.588,point_fc,/height,1,11,1,0.013319,1.000
60,1779458604.589699984,2026-05-22T22:03:24.589,array_ground,/laser_array/ground_height,11,11,1,0.001658,1.000
61,1779458604.593075752,2026-05-22T22:03:24.593,point_fc,/height,1,11,1,0.003376,1.000
62,1779458604.598278046,2026-05-22T22:03:24.598,point_fc,/height,1,11,1,0.008578,1.000
63,1779458604.603291273,2026-05-22T22:03:24.603,point_fc,/height,1,11,1,0.013591,1.000
64,1779458604.605270624,2026-05-22T22:03:24.605,array_ground,/laser_array/ground_height,11,11,1,0.001979,1.000
65,1779458604.608024120,2026-05-22T22:03:24.608,point_fc,/height,1,11,1,0.002753,1.000
66,1779458604.613194704,2026-05-22T22:03:24.613,point_fc,/height,1,11,1,0.007924,1.000
67,1779458604.617995977,2026-05-22T22:03:24.618,point_fc,/height,1,11,1,0.012725,1.000
68,1779458604.621365070,2026-05-22T22:03:24.621,array_ground,/laser_array/ground_height,11,11,1,0.003369,1.000
69,1779458604.623029232,2026-05-22T22:03:24.623,point_fc,/height,1,11,1,0.001664,1.000
70,1779458604.627801180,2026-05-22T22:03:24.627,point_fc,/height,1,11,1,0.006436,1.000
71,1779458604.632925749,2026-05-22T22:03:24.632,point_fc,/height,1,11,1,0.011561,1.000
72,1779458604.637328148,2026-05-22T22:03:24.637,array_ground,/laser_array/ground_height,11,11,1,0.004402,1.000
73,1779458604.638344765,2026-05-22T22:03:24.638,point_fc,/height,1,11,1,0.001017,1.000
