seq,ros_time_sec,wall_time_iso,source,topic,height_cm,array_ground_height_cm,point_height_cm,pair_age_sec,drop_cm
67,1779458686.115307570,2026-05-22T22:04:46.115,point_fc,/height,16,,16,,
68,1779458686.119913578,2026-05-22T22:04:46.119,point_fc,/height,16,,16,,
69,1779458686.124879599,2026-05-22T22:04:46.124,point_fc,/height,16,,16,,
70,1779458686.129909277,2026-05-22T22:04:46.129,point_fc,/height,16,,16,,
71,1779458686.134894609,2026-05-22T22:04:46.134,point_fc,/height,16,,16,,
72,1779458686.139996529,2026-05-22T22:04:46.140,point_fc,/height,16,,16,,
73,1779458686.144879103,2026-05-22T22:04:46.144,point_fc,/height,16,,16,,
74,1779458686.149812698,2026-05-22T22:04:46.149,point_fc,/height,16,,16,,
75,1779458686.155061245,2026-05-22T22:04:46.155,point_fc,/height,16,,16,,
76,1779458686.160157919,2026-05-22T22:04:46.160,point_fc,/height,17,,17,,
77,1779458686.165111780,2026-05-22T22:04:46.165,point_fc,/height,17,,17,,
78,1779458686.170303583,2026-05-22T22:04:46.170,point_fc,/height,17,,17,,
79,1779458686.174742460,2026-05-22T22:04:46.174,point_fc,/height,17,,17,,
80,1779458686.179928064,2026-05-22T22:04:46.179,point_fc,/height,17,,17,,
81,1779458686.184705019,2026-05-22T22:04:46.184,point_fc,/height,17,,17,,
82,1779458686.189617395,2026-05-22T22:04:46.189,point_fc,/height,17,,17,,
83,1779458686.194981575,2026-05-22T22:04:46.195,point_fc,/height,17,,17,,
84,1779458686.200280666,2026-05-22T22:04:46.200,point_fc,/height,17,,17,,
85,1779458686.204920053,2026-05-22T22:04:46.204,point_fc,/height,17,,17,,
86,1779458686.210089684,2026-05-22T22:04:46.210,point_fc,/height,17,,17,,
87,1779458686.215262890,2026-05-22T22:04:46.215,point_fc,/height,17,,17,,
88,1779458686.220320940,2026-05-22T22:04:46.220,point_fc,/height,17,,17,,
89,1779458686.225069523,2026-05-22T22:04:46.225,point_fc,/height,17,,17,,
90,1779458686.229840755,2026-05-22T22:04:46.229,point_fc,/height,17,,17,,
91,1779458686.234932423,2026-05-22T22:04:46.235,point_fc,/height,17,,17,,
92,1779458686.240103245,2026-05-22T22:04:46.240,point_fc,/height,17,,17,,
93,1779458686.245189905,2026-05-22T22:04:46.245,point_fc,/height,17,,17,,
94,1779458686.250160694,2026-05-22T22:04:46.250,point_fc,/height,16,,16,,
95,1779458686.254837275,2026-05-22T22:04:46.254,point_fc,/height,16,,16,,
96,1779458686.259881258,2026-05-22T22:04:46.259,point_fc,/height,16,,16,,
97,1779458686.264912367,2026-05-22T22:04:46.264,point_fc,/height,16,,16,,
98,1779458686.269881248,2026-05-22T22:04:46.269,point_fc,/height,16,,16,,
99,1779458686.274873257,2026-05-22T22:04:46.274,point_fc,/height,16,,16,,
100,1779458686.279704809,2026-05-22T22:04:46.279,point_fc,/height,16,,16,,
101,1779458686.284745932,2026-05-22T22:04:46.284,point_fc,/height,16,,16,,
102,1779458686.289778948,2026-05-22T22:04:46.289,point_fc,/height,16,,16,,
103,1779458686.295195580,2026-05-22T22:04:46.295,point_fc,/height,16,,16,,
104,1779458686.300122023,2026-05-22T22:04:46.300,point_fc,/height,16,,16,,
105,1779458686.305119514,2026-05-22T22:04:46.305,point_fc,/height,16,,16,,
106,1779458686.310133696,2026-05-22T22:04:46.310,point_fc,/height,16,,16,,
107,1779458686.314743996,2026-05-22T22:04:46.314,point_fc,/height,16,,16,,
108,1779458686.319719791,2026-05-22T22:04:46.319,point_fc,/height,16,,16,,
109,1779458686.324566364,2026-05-22T22:04:46.324,point_fc,/height,16,,16,,
110,1779458686.329828501,2026-05-22T22:04:46.329,point_fc,/height,16,,16,,
111,1779458686.334712982,2026-05-22T22:04:46.334,point_fc,/height,16,,16,,
112,1779458686.339955091,2026-05-22T22:04:46.340,point_fc,/height,16,,16,,
113,1779458686.344847202,2026-05-22T22:04:46.344,point_fc,/height,16,,16,,
