t_rel_s,ts_ns,values
12.340,1779427888172522973,"[-6.695716381072998, 0.8169007897377014, 20.0, 6.45411491394043]"
12.360,1779427888192523476,"[-4.119292259216309, -2.785066604614258, 20.0, -0.08062014728784561]"
12.380,1779427888212463313,"[0.6723732948303223, -1.542274832725525, 20.0, -6.445979595184326]"
12.401,1779427888233207558,"[-0.8764026165008545, -1.4395174980163574, 20.0, -1.2734495401382446]"
12.420,1779427888252468695,"[-0.758255660533905, -1.2752711772918701, 20.0, 3.2757022380828857]"
12.440,1779427888272583239,"[0.30398663878440857, -1.5290098190307617, 20.0, 2.476714611053467]"
12.460,1779427888292673866,"[0.6652595400810242, -0.9615141749382019, 20.0, 0.0518965944647789]"
12.480,1779427888312520079,"[0.3342031240463257, -0.9813244342803955, 20.0, 0.04151727631688118]"
12.500,1779427888332376501,"[0.3440452814102173, -0.945420503616333, 20.0, 0.033213820308446884]"
12.524,1779427888356550703,"[0.3200436532497406, -0.8794650435447693, 20.0, 0.026571055874228477]"
12.540,1779427888372706504,"[-0.0, -0.0, 20.0, 0.02125684544444084]"
12.561,1779427888392783714,"[-0.0, -0.0, 20.0, 0.017005475237965584]"
12.580,1779427888412579179,"[-0.0, -0.0, 20.0, 0.013604380190372467]"
12.600,1779427888432563640,"[-0.6617650985717773, -0.6836721301078796, 20.0, 0.010883504524827003]"
12.620,1779427888452587185,"[-0.7649551630020142, -0.6229482293128967, 20.0, 0.008706803433597088]"
12.640,1779427888472484731,"[-0.7840797305107117, -0.5715951919555664, 20.0, 0.006965443026274443]"
12.661,1779427888492923604,"[-0.34507545828819275, -0.46038463711738586, 20.0, 0.005572354421019554]"
12.680,1779427888512656944,"[-0.3598852753639221, -0.4449276328086853, 20.0, 0.004457883536815643]"
12.700,1779427888532703530,"[-0.3626338541507721, -0.4318457841873169, 20.0, 0.003566306782886386]"
12.720,1779427888552530494,"[-0.3971654772758484, -0.654363751411438, 20.0, 0.0028530454728752375]"
12.740,1779427888572431540,"[-0.40016135573387146, -0.6656937599182129, 20.0, 0.0022824362386018038]"
12.760,1779427888592566625,"[-0.403508722782135, -0.6774433851242065, 20.0, 0.0018259490607306361]"
12.780,1779427888612692960,"[-0.3824256360530853, -0.6420473456382751, 20.0, 0.0014607592020183802]"
12.800,1779427888632521674,"[-0.4735616445541382, -0.7715995907783508, 20.0, 0.0011686073848977685]"
12.820,1779427888652669467,"[-0.4803529977798462, -0.7833274006843567, 20.0, 0.0009348859312012792]"
12.840,1779427888672596763,"[-0.4708285331726074, -0.7681156992912292, 20.0, 0.000747908721677959]"
12.860,1779427888692636641,"[-0.35547587275505066, -0.5449060797691345, 20.0, 0.000598326965700835]"
12.880,1779427888712346356,"[-0.358350545167923, -0.5431585311889648, 20.0, 0.00047866159002296627]"
12.900,1779427888732655147,"[-0.35761144757270813, -0.5390604734420776, 20.0, 0.0003829292836599052]"
12.920,1779427888752518861,"[-0.0, -0.0, 20.0, 0.00030634342692792416]"
12.940,1779427888772563405,"[-0.0, -0.0, 20.0, 0.0002450747415423393]"
12.960,1779427888792575283,"[-0.0, -0.0, 20.0, 0.00019605978741310537]"
12.980,1779427888812502288,"[-0.0, -0.0, 20.0, 0.00015684783284086734]"
13.000,1779427888832511249,"[0.0, -0.0, 20.0, 0.00012547826918307692]"
13.020,1779427888852332380,"[0.0, -0.0, 20.0, 0.00010038261098088697]"
13.040,1779427888872543464,"[0.0, -0.0, 20.0, 8.03060902399011e-05]"
