t_rel_s,ts_ns,value
1.172,1779427877004092901,1
1.178,1779427877010161182,1
1.181,1779427877013566188,1
1.186,1779427877018263374,1
1.191,1779427877023337969,1
1.197,1779427877028852678,1
1.201,1779427877033243912,1
1.206,1779427877038464337,1
1.211,1779427877043471266,1
1.216,1779427877048376114,1
1.221,1779427877053423000,1
1.226,1779427877058389097,1
1.231,1779427877063362485,1
1.236,1779427877068219501,1
1.241,1779427877073443717,1
1.246,1779427877078595309,1
1.251,1779427877083168831,1
1.256,1779427877088025555,1
1.261,1779427877093181814,1
1.266,1779427877098088996,1
1.271,1779427877103466041,1
1.276,1779427877108305266,1
1.281,1779427877113167823,1
1.286,1779427877118296958,1
1.291,1779427877123437176,1
1.296,1779427877128376148,1
1.301,1779427877133457159,1
1.306,1779427877138335174,1
1.311,1779427877143195106,1
1.316,1779427877148482904,1
1.321,1779427877153498583,1
1.326,1779427877158257601,1
1.331,1779427877163310612,1
1.336,1779427877168149837,1
1.341,1779427877173437343,1
1.346,1779427877178349191,1
1.351,1779427877183661196,1
1.356,1779427877188277884,1
1.361,1779427877193237564,1
1.366,1779427877198133662,1
1.371,1779427877203431085,1
1.376,1779427877208151312,1
1.381,1779427877213193240,1
1.386,1779427877218224377,1
1.391,1779427877222936146,1
1.396,1779427877228127405,1
1.401,1779427877233211624,1
1.406,1779427877238641460,1
1.411,1779427877243061860,1
1.416,1779427877247963500,1
1.421,1779427877253105759,1
1.426,1779427877258003316,1
1.431,1779427877263119909,1
1.436,1779427877268174671,1
1.441,1779427877273148059,1
1.446,1779427877278411065,1
1.451,1779427877283084919,1
1.456,1779427877288125389,1
1.461,1779427877293378479,1
1.466,1779427877298170746,1
1.471,1779427877303159592,1
1.476,1779427877308049565,1
1.481,1779427877313063786,1
1.486,1779427877317948218,1
1.491,1779427877323028937,1
1.496,1779427877328122781,1
1.501,1779427877333050670,1
1.506,1779427877338133431,1
1.511,1779427877343163692,1
1.516,1779427877348141164,1
1.521,1779427877353030554,1
1.526,1779427877358246603,1
1.531,1779427877363209783,1
1.536,1779427877368057174,1
1.541,1779427877373117185,1
1.546,1779427877378106615,1
1.551,1779427877382991047,1
1.556,1779427877388113473,1
1.561,1779427877393153068,1
1.566,1779427877397878545,1
1.571,1779427877403132219,1
1.576,1779427877408004692,1
1.581,1779427877413133535,1
1.586,1779427877418003093,1
1.591,1779427877422990480,1
1.596,1779427877428062158,1
1.601,1779427877432998214,1
1.606,1779427877438034017,1
1.611,1779427877443026655,1
1.616,1779427877448023084,1
1.621,1779427877452907516,1
1.626,1779427877457885279,1
1.631,1779427877462880250,1
1.636,1779427877467856555,1
1.641,1779427877473079312,1
1.646,1779427877478138449,1
1.651,1779427877482933924,1
1.656,1779427877488004727,1
1.661,1779427877493092446,1
1.666,1779427877497981252,1
1.671,1779427877503094929,1
1.676,1779427877507924237,1
1.680,1779427877512759087,1
1.686,1779427877517828723,1
1.690,1779427877522718113,1
1.696,1779427877527822164,1
1.701,1779427877533009923,1
1.706,1779427877537783524,1
1.711,1779427877542889326,1
1.716,1779427877547890713,1
1.721,1779427877552851852,1
1.726,1779427877557902821,1
1.731,1779427877562883501,1
1.736,1779427877567804099,1
1.741,1779427877572907859,1
1.746,1779427877577868414,1
1.751,1779427877583051797,1
1.756,1779427877587899188,1
1.761,1779427877593063614,1
1.766,1779427877597888839,1
1.771,1779427877602987641,1
1.776,1779427877607881406,1
1.781,1779427877612908168,1
1.785,1779427877617696352,1
1.791,1779427877622936025,1
1.796,1779427877627805583,1
1.800,1779427877632713930,1
1.806,1779427877637806024,1
1.811,1779427877642878285,1
1.815,1779427877647704968,1
1.820,1779427877652671065,1
1.825,1779427877657601579,1
1.830,1779427877662711464,1
1.835,1779427877667741726,1
1.841,1779427877673000066,1
1.846,1779427877677792625,1
1.850,1779427877682679098,1
1.855,1779427877687635570,1
1.860,1779427877692670790,1
1.865,1779427877697487265,1
1.870,1779427877702673565,1
1.875,1779427877707698286,1
1.880,1779427877712751589,1
1.885,1779427877717627271,1
1.891,1779427877722766614,1
1.895,1779427877727709669,1
1.901,1779427877732914052,1
1.906,1779427877737883649,1
1.910,1779427877742674166,1
1.915,1779427877747578139,1
1.920,1779427877752717482,1
1.925,1779427877757487583,1
1.930,1779427877762750589,1
1.935,1779427877767559481,1
1.940,1779427877772590326,1
1.945,1779427877777604839,1
1.951,1779427877782782972,1
1.955,1779427877787522157,1
1.960,1779427877792660625,1
1.965,1779427877797617388,1
1.971,1779427877802819147,1
1.975,1779427877807643496,1
1.980,1779427877812599968,1
1.986,1779427877817767602,1
1.990,1779427877822643867,1
1.995,1779427877827622214,1
2.001,1779427877832839721,1
2.005,1779427877837591156,1
2.010,1779427877842595169,1
2.015,1779427877847563599,1
2.020,1779427877852548361,1
2.025,1779427877857572207,1
2.031,1779427877862831797,1
2.035,1779427877867316779,1
2.040,1779427877872618285,1
2.045,1779427877877696671,1
2.050,1779427877882644393,1
2.055,1779427877887613115,1
2.060,1779427877892613335,1
2.065,1779427877897591098,1
2.070,1779427877902628068,1
2.075,1779427877907341587,1
2.080,1779427877912429598,1
2.085,1779427877917234990,1
2.090,1779427877922503247,1
2.095,1779427877927602340,1
2.100,1779427877932490272,1
2.105,1779427877937425744,1
2.110,1779427877942653168,1
2.115,1779427877947394978,1
2.121,1779427877952822773,1
2.125,1779427877957452585,1
2.131,1779427877963041668,1
2.135,1779427877967448944,1
2.140,1779427877972385875,1
2.145,1779427877977323389,1
2.150,1779427877982442898,1
2.155,1779427877987351830,1
2.160,1779427877992604337,1
2.165,1779427877997569267,1
2.171,1779427878002794066,1
2.175,1779427878007469086,1
2.180,1779427878012465223,1
2.186,1779427878017815436,1
2.190,1779427878022717368,1
2.195,1779427878027493302,1
2.200,1779427878032462315,1
2.205,1779427878037460494,1
2.210,1779427878042522256,1
2.215,1779427878047481644,1
2.220,1779427878052604946,1
2.225,1779427878057455836,1
2.230,1779427878062448474,1
2.235,1779427878067388321,1
2.240,1779427878072371626,1
2.245,1779427878077401013,1
2.250,1779427878082559314,1
2.255,1779427878087363539,1
2.260,1779427878092599713,1
2.265,1779427878097482103,1
2.270,1779427878102507115,1
2.275,1779427878107401463,1
2.280,1779427878112383018,1
2.285,1779427878117295157,1
2.290,1779427878122305878,1
2.295,1779427878127415471,1
2.300,1779427878132412484,1
2.305,1779427878137580326,1
2.310,1779427878142372885,1
2.315,1779427878147331690,1
2.320,1779427878152588864,1
2.325,1779427878157451713,1
2.330,1779427878162537682,1
2.335,1779427878167073663,1
2.340,1779427878172095758,1
2.345,1779427878177062147,1
2.350,1779427878182130033,1
2.355,1779427878187249542,1
2.360,1779427878192439926,1
2.365,1779427878197257859,1
2.370,1779427878202646279,1
2.375,1779427878207106637,1
2.380,1779427878212279521,1
2.385,1779427878217251451,1
2.390,1779427878222335378,1
2.395,1779427878227199102,1
2.400,1779427878231997203,1
2.405,1779427878237095130,1
2.410,1779427878242188974,1
2.415,1779427878247081863,1
2.420,1779427878252132542,1
2.425,1779427878257247968,1
2.430,1779427878262228939,1
2.435,1779427878267034040,1
2.440,1779427878272292671,1
2.445,1779427878277175937,1
2.450,1779427878282133575,1
2.455,1779427878287112213,1
2.460,1779427878292268764,1
2.465,1779427878297037990,1
2.470,1779427878302224582,1
2.475,1779427878307037265,1
2.480,1779427878311987320,1
2.485,1779427878317168954,1
2.490,1779427878322240631,1
2.495,1779427878327188645,1
2.500,1779427878332194991,1
2.505,1779427878337112380,1
2.510,1779427878342258431,1
2.515,1779427878347127988,1
2.520,1779427878352218041,1
2.525,1779427878357178887,1
2.530,1779427878362051361,1
2.535,1779427878367078415,1
2.540,1779427878371946805,1
2.545,1779427878376837362,1
2.550,1779427878381970580,1
2.555,1779427878387116339,1
2.560,1779427878392380512,1
2.565,1779427878397342234,1
2.570,1779427878402296956,1
2.575,1779427878406971101,1
2.580,1779427878412062028,1
2.585,1779427878417102206,1
2.590,1779427878422454169,1
2.595,1779427878427104106,1
2.600,1779427878432392196,1
2.605,1779427878436877928,1
2.610,1779427878442138310,1
2.615,1779427878446946910,1
2.620,1779427878452139918,1
2.625,1779427878456987018,1
2.630,1779427878462185567,1
2.635,1779427878467006709,1
2.640,1779427878471999930,1
2.645,1779427878477085024,1
2.650,1779427878482354739,1
2.655,1779427878487166547,1
2.660,1779427878492100853,1
2.665,1779427878497206363,1
2.670,1779427878502443995,1
2.675,1779427878506899395,1
2.680,1779427878511932865,1
2.685,1779427878516852588,1
2.690,1779427878522001847,1
2.695,1779427878526936736,1
2.700,1779427878531897000,1
2.705,1779427878536864555,1
2.710,1779427878541960440,1
2.714,1779427878546759415,1
2.720,1779427878552290458,1
2.725,1779427878556924062,1
2.730,1779427878561835326,1
2.735,1779427878566965919,1
2.740,1779427878571931433,1
2.745,1779427878577083608,1
2.750,1779427878582088788,1
2.754,1779427878586755349,1
2.760,1779427878591808361,1
2.765,1779427878597001661,1
2.770,1779427878602453371,1
2.774,1779427878606739608,1
2.780,1779427878612072030,1
2.785,1779427878616807715,1
2.790,1779427878621852560,1
2.794,1779427878626720075,1
2.800,1779427878631978416,1
2.804,1779427878636694559,1
2.810,1779427878641964274,1
2.815,1779427878647056076,1
2.820,1779427878652034131,1
2.825,1779427878656872772,1
2.830,1779427878661821953,1
2.834,1779427878666734676,1
2.840,1779427878672050473,1
2.845,1779427878676787033,1
2.850,1779427878681790754,1
2.855,1779427878686806432,1
2.860,1779427878691901443,1
2.865,1779427878696942205,1
2.870,1779427878701919384,1
2.874,1779427878706735276,1
2.879,1779427878711704873,1
2.885,1779427878716771009,1
2.889,1779427878721751105,1
2.894,1779427878726737909,1
2.900,1779427878731886294,1
2.905,1779427878736838974,1
2.909,1779427878741702698,1
2.915,1779427878746880831,1
2.920,1779427878752120797,1
2.925,1779427878756852982,1
2.929,1779427878761702998,1
2.935,1779427878767385704,1
2.939,1779427878771709565,1
2.944,1779427878776555789,1
2.949,1779427878781547552,1
2.954,1779427878786620979,1
2.959,1779427878791646866,1
2.964,1779427878796603630,1
2.969,1779427878801736264,1
2.975,1779427878806775568,1
2.979,1779427878811670791,1
2.984,1779427878816655262,1
2.989,1779427878821724607,1
2.994,1779427878826591247,1
2.999,1779427878831625009,1
3.004,1779427878836746269,1
3.010,1779427878841784989,1
3.014,1779427878846481591,1
3.020,1779427878851862429,1
3.024,1779427878856591697,1
3.029,1779427878861474671,1
3.034,1779427878866627263,1
3.039,1779427878871612610,1
3.045,1779427878876838284,1
3.049,1779427878881572219,1
3.055,1779427878886842517,1
3.059,1779427878891626826,1
3.064,1779427878896603423,1
3.069,1779427878901443230,1
3.074,1779427878906448701,1
3.079,1779427878911380965,1
3.084,1779427878916536933,1
3.089,1779427878921741024,1
3.094,1779427878926472042,1
3.099,1779427878931456222,1
3.104,1779427878936517983,1
3.109,1779427878941457830,1
3.114,1779427878946436177,1
3.120,1779427878952257713,1
3.124,1779427878956452660,1
3.129,1779427878961425756,1
3.134,1779427878966686430,1
3.139,1779427878971449531,1
3.144,1779427878976430211,1
3.149,1779427878981358683,1
3.154,1779427878986472651,1
3.160,1779427878991831323,1
3.164,1779427878996696713,1
3.169,1779427879001495689,1
3.174,1779427879006620740,1
3.179,1779427879011543546,1
3.184,1779427879016395312,1
3.189,1779427879021329242,1
3.195,1779427879026936116,1
3.200,1779427879031823048,1
3.204,1779427879036256865,1
3.209,1779427879041221712,1
3.214,1779427879046523218,1
3.219,1779427879051404733,1
3.224,1779427879056495368,1
3.229,1779427879061379217,1
3.234,1779427879066429312,1
3.239,1779427879071480865,1
3.244,1779427879076517210,1
3.249,1779427879081420891,1
3.254,1779427879086565192,1
3.259,1779427879091335293,1
3.264,1779427879096504677,1
3.269,1779427879101644311,1
3.274,1779427879106333622,1
3.279,1779427879111225054,1
3.284,1779427879116255608,1
3.289,1779427879121228121,1
3.294,1779427879126232425,1
3.299,1779427879131107232,1
3.304,1779427879136121452,1
3.309,1779427879141155214,1
3.314,1779427879146122186,1
3.319,1779427879151380526,1
3.324,1779427879156350123,1
3.329,1779427879161359385,1
3.334,1779427879166435729,1
3.339,1779427879171163248,1
3.344,1779427879176148886,1
3.349,1779427879181094858,1
3.354,1779427879186273575,1
3.359,1779427879191177839,1
3.364,1779427879196286849,1
3.369,1779427879201277445,1
3.374,1779427879206370123,1
3.379,1779427879211272929,1
3.384,1779427879216381356,1
3.389,1779427879221398785,1
3.394,1779427879226183760,1
3.399,1779427879231099983,1
3.404,1779427879236134328,1
3.409,1779427879241633580,1
3.414,1779427879246286142,1
3.419,1779427879251426068,1
3.424,1779427879256564535,1
3.429,1779427879261326178,1
3.434,1779427879266270984,1
3.439,1779427879271169124,1
3.444,1779427879276180719,1
3.449,1779427879281590139,1
3.454,1779427879286386490,1
3.459,1779427879291340045,1
3.464,1779427879296376140,1
3.471,1779427879303111155,1
3.475,1779427879307726093,1
3.479,1779427879311545174,1
3.484,1779427879316105696,1
3.489,1779427879321026586,1
3.494,1779427879326070264,1
3.499,1779427879331185691,1
3.504,1779427879336108038,1
3.509,1779427879341066843,1
3.514,1779427879346026232,1
3.523,1779427879355320856,1
3.524,1779427879356257668,1
3.529,1779427879361163975,1
3.534,1779427879366028865,1
3.539,1779427879371275831,1
3.544,1779427879375982641,1
3.549,1779427879381034194,1
3.554,1779427879385886544,1
3.559,1779427879391123593,1
3.564,1779427879396035149,1
3.569,1779427879400956621,1
3.574,1779427879405972884,1
3.579,1779427879411089477,1
3.584,1779427879415964867,1
3.589,1779427879421061919,1
3.594,1779427879425955393,1
3.599,1779427879431055069,1
3.604,1779427879436118289,1
3.609,1779427879441120843,1
3.614,1779427879445988359,1
3.619,1779427879451127701,1
3.624,1779427879456276961,1
3.629,1779427879460976480,1
3.634,1779427879466109989,1
3.639,1779427879471182250,1
3.644,1779427879476158263,1
3.649,1779427879481265524,1
3.654,1779427879486049916,1
3.659,1779427879490993263,1
3.664,1779427879496300310,1
3.669,1779427879501089369,1
3.674,1779427879505935010,1
3.679,1779427879510929690,1
3.684,1779427879515997576,1
3.689,1779427879521030463,1
3.694,1779427879525968852,1
3.699,1779427879531018655,1
3.704,1779427879536076041,1
3.709,1779427879540916140,1
3.714,1779427879545867071,1
3.719,1779427879551556484,1
3.724,1779427879556204963,1
3.729,1779427879561144519,1
3.734,1779427879565989285,1
3.739,1779427879571084879,1
3.744,1779427879575868688,1
3.749,1779427879580898075,1
3.754,1779427879585873504,1
3.758,1779427879590738687,1
3.764,1779427879596003151,1
3.769,1779427879600991123,1
3.773,1779427879605737016,1
3.779,1779427879610826776,1
3.784,1779427879615907787,1
3.789,1779427879620884092,1
3.794,1779427879626030143,1
3.799,1779427879631089279,1
3.804,1779427879635888546,1
3.809,1779427879640866309,1
3.813,1779427879645744324,1
3.819,1779427879651029206,1
3.824,1779427879655874263,1
3.829,1779427879660923775,1
3.834,1779427879665968328,1
3.839,1779427879670857426,1
3.844,1779427879675939895,1
3.849,1779427879680866910,1
3.854,1779427879686103084,1
3.859,1779427879690991015,1
3.864,1779427879696069109,1
3.869,1779427879701072539,1
3.874,1779427879705851389,1
3.879,1779427879710825361,1
3.883,1779427879715692293,1
3.888,1779427879720762221,1
3.893,1779427879725730359,1
3.899,1779427879731040323,1
3.904,1779427879735889755,1
3.909,1779427879740811228,1
3.913,1779427879745760117,1
3.919,1779427879750872044,1
3.924,1779427879756046677,1
3.928,1779427879760752321,1
3.934,1779427879766210449,1
3.938,1779427879770751013,1
3.944,1779427879775779525,1
3.948,1779427879780635666,1
3.953,1779427879785638803,1
3.959,1779427879790892477,1
3.964,1779427879795787117,1
3.969,1779427879800918293,1
3.974,1779427879805854932,1
3.978,1779427879810640199,1
3.984,1779427879815938789,1
3.989,1779427879820967009,1
3.993,1779427879825713485,1
3.999,1779427879830941784,1
4.004,1779427879835768759,1
4.008,1779427879840559568,1
4.013,1779427879845719910,1
4.018,1779427879850656841,1
4.023,1779427879855698769,1
4.029,1779427879860778322,1
4.034,1779427879865857583,1
4.039,1779427879870848179,1
4.043,1779427879875719777,1
4.049,1779427879880854745,1
4.054,1779427879886092669,1
4.058,1779427879890623609,1
4.064,1779427879895790368,1
4.068,1779427879900652050,1
4.073,1779427879905551356,1
4.078,1779427879910446871,1
4.083,1779427879915629963,1
4.088,1779427879920528395,1
4.093,1779427879925674446,1
4.099,1779427879930768873,1
4.103,1779427879935688012,1
4.108,1779427879940722357,1
4.114,1779427879945818243,1
4.118,1779427879950737382,1
4.124,1779427879955867100,1
4.128,1779427879960514412,1
4.134,1779427879965883666,1
4.138,1779427879970453689,1
4.143,1779427879975747778,1
4.148,1779427879980495129,1
4.153,1779427879985696887,1
4.158,1779427879990741441,1
4.163,1779427879995739037,1
4.168,1779427880000490763,1
4.173,1779427880005495359,1
4.178,1779427880010677284,1
4.183,1779427880015757128,1
4.188,1779427880020599269,1
4.193,1779427880025731904,1
4.198,1779427880030459714,1
4.203,1779427880035668472,1
4.208,1779427880040632819,1
4.213,1779427880045557791,1
4.218,1779427880050527096,1
4.223,1779427880055640773,1
4.228,1779427880060354875,1
4.233,1779427880065535342,1
4.238,1779427880070592728,1
4.243,1779427880075549783,1
4.248,1779427880080600753,1
4.254,1779427880086028256,1
4.258,1779427880090544029,1
4.263,1779427880095471919,1
4.268,1779427880100485847,1
4.273,1779427880105351905,1
4.278,1779427880110334918,1
4.283,1779427880115538717,1
4.288,1779427880120683893,1
4.293,1779427880125450203,1
4.298,1779427880130581087,1
4.303,1779427880135456769,1
4.308,1779427880140326910,1
4.313,1779427880145429212,1
4.318,1779427880150465015,1
4.323,1779427880155627691,1
4.328,1779427880160587954,1
4.333,1779427880165550842,1
4.338,1779427880170471732,1
4.343,1779427880175399621,1
4.348,1779427880180460799,1
4.353,1779427880185449645,1
4.358,1779427880190288869,1
4.363,1779427880195344506,1
4.368,1779427880200464307,1
4.373,1779427880205395113,1
4.378,1779427880210530373,1
4.383,1779427880215249433,1
4.388,1779427880220333944,1
4.393,1779427880225302374,1
4.398,1779427880230567255,1
4.403,1779427880235334148,1
4.408,1779427880240409242,1
4.413,1779427880245398088,1
4.418,1779427880250354269,1
4.423,1779427880255255617,1
4.428,1779427880260455916,1
4.433,1779427880265399264,1
4.438,1779427880270279612,1
4.443,1779427880275312499,1
4.448,1779427880280387093,1
4.453,1779427880285696765,1
4.458,1779427880290363327,1
4.463,1779427880295231134,1
4.468,1779427880300243313,1
4.473,1779427880305275908,1
4.478,1779427880310291004,1
4.483,1779427880315077438,1
4.488,1779427880320333736,1
4.493,1779427880325351457,1
4.498,1779427880330523632,1
4.503,1779427880335298692,1
4.508,1779427880340347911,1
4.513,1779427880345598377,1
4.518,1779427880350292063,1
4.523,1779427880355441905,1
4.528,1779427880360389794,1
4.533,1779427880365229310,1
4.538,1779427880370294571,1
4.543,1779427880375139337,1
4.548,1779427880380057018,1
4.553,1779427880385090197,1
4.558,1779427880390223123,1
4.563,1779427880395021515,1
4.568,1779427880400106317,1
4.573,1779427880405174495,1
4.578,1779427880410198924,1
4.583,1779427880415087730,1
4.588,1779427880420353070,1
4.593,1779427880425196961,1
4.598,1779427880430243848,1
4.603,1779427880435121863,1
4.608,1779427880440120334,1
4.613,1779427880445130763,1
4.618,1779427880450247065,1
4.623,1779427880455002874,1
4.628,1779427880460200258,1
4.633,1779427880465286518,1
4.638,1779427880470132742,1
4.643,1779427880475009008,1
4.648,1779427880480251890,1
4.653,1779427880485508188,1
4.658,1779427880490026878,1
4.663,1779427880495344425,1
4.668,1779427880499951489,1
4.673,1779427880505084123,1
4.678,1779427880510179134,1
4.683,1779427880515159522,1
4.688,1779427880520106369,1
4.693,1779427880525218587,1
4.698,1779427880530212391,1
4.703,1779427880534846870,1
4.708,1779427880540170542,1
4.713,1779427880545074807,1
4.718,1779427880550148818,1
4.723,1779427880555060957,1
4.728,1779427880560207008,1
4.733,1779427880565407016,1
4.738,1779427880570102453,1
4.743,1779427880574911344,1
4.748,1779427880580076062,1
4.753,1779427880584961368,1
4.758,1779427880590194626,1
4.763,1779427880595067099,1
4.768,1779427880599893491,1
4.773,1779427880604960794,1
4.778,1779427880610162843,1
4.783,1779427880614799947,1
4.788,1779427880620015705,1
4.793,1779427880625131423,1
4.798,1779427880630079145,1
4.803,1779427880635010243,1
4.808,1779427880640063837,1
4.813,1779427880644973935,1
4.818,1779427880649889866,1
4.823,1779427880654768173,1
4.828,1779427880659917141,1
4.833,1779427880665071942,1
