t_rel_s,ts_ns,value
4.071,1779427879903405905,10
4.087,1779427879919377796,10
4.103,1779427879935392560,10
4.119,1779427879951677111,10
4.135,1779427879967185054,10
4.166,1779427879997985986,10
4.196,1779427880027891063,10
4.212,1779427880043920703,10
4.228,1779427880059840387,10
4.244,1779427880075800028,10
4.259,1779427880091591381,10
4.275,1779427880107483357,10
4.292,1779427880123806990,10
4.308,1779427880139795213,10
4.323,1779427880155674648,10
4.339,1779427880171393961,10
4.355,1779427880187369352,10
4.371,1779427880203438949,10
4.387,1779427880219522254,10
4.403,1779427880235206984,10
4.419,1779427880251055128,10
4.435,1779427880267060268,10
4.451,1779427880282996576,10
4.467,1779427880299002883,10
4.483,1779427880314784320,10
4.498,1779427880330699795,10
4.515,1779427880346832390,10
4.545,1779427880376927505,10
4.561,1779427880392872563,10
4.591,1779427880423065509,10
4.607,1779427880439009984,10
4.623,1779427880454888544,10
4.639,1779427880470896892,10
4.655,1779427880486772535,10
4.670,1779427880502575846,10
4.686,1779427880518627944,10
4.702,1779427880534668958,10
4.718,1779427880550486560,10
4.735,1779427880566817193,10
4.750,1779427880582433259,10
4.766,1779427880598151697,10
4.782,1779427880614154212,10
4.798,1779427880630107728,10
4.814,1779427880646032078,10
4.830,1779427880661975095,10
4.846,1779427880677966527,10
4.876,1779427880707840688,10
4.892,1779427880723823662,10
4.907,1779427880739748596,10
4.924,1779427880755908899,10
4.939,1779427880771659711,10
4.955,1779427880787628685,10
4.972,1779427880803826613,10
4.988,1779427880819832919,10
5.004,1779427880835912141,10
5.019,1779427880851392293,10
5.035,1779427880867409974,10
5.051,1779427880883436114,10
5.067,1779427880899347923,10
5.083,1779427880915126735,10
5.099,1779427880931080834,10
5.115,1779427880947048933,10
5.131,1779427880963053782,10
5.147,1779427880979054839,10
5.192,1779427881024136450,10
5.208,1779427881040036592,10
5.238,1779427881070278537,10
5.254,1779427881086380800,10
5.270,1779427881102245651,10
5.285,1779427881117745053,10
5.302,1779427881133772067,10
5.318,1779427881149815123,10
5.333,1779427881165629518,10
5.349,1779427881181398121,10
5.365,1779427881197501842,10
5.381,1779427881213527399,10
5.397,1779427881229354334,10
5.413,1779427881245139854,10
5.429,1779427881261128953,10
5.445,1779427881277138468,10
5.461,1779427881293202815,10
5.477,1779427881308897921,10
5.493,1779427881324988809,10
5.523,1779427881354944427,10
5.539,1779427881370857985,10
5.555,1779427881386781294,10
5.571,1779427881402924973,10
5.587,1779427881419118817,10
5.602,1779427881434702800,10
5.618,1779427881450489194,10
5.634,1779427881466693538,10
5.650,1779427881482497141,10
5.666,1779427881498577530,10
5.682,1779427881514238802,10
5.698,1779427881530322982,10
5.714,1779427881546406871,10
5.730,1779427881562273472,10
5.746,1779427881577863288,10
5.762,1779427881594344418,10
5.778,1779427881609993732,10
5.794,1779427881626044663,10
5.839,1779427881670841905,10
5.855,1779427881686921710,10
5.885,1779427881716967660,10
5.901,1779427881733048923,10
5.917,1779427881748992815,10
5.933,1779427881764922123,10
5.948,1779427881780558605,10
5.964,1779427881796566953,10
5.980,1779427881812608842,10
5.996,1779427881828710230,10
6.012,1779427881844266797,10
6.028,1779427881860385101,10
6.044,1779427881876344742,10
6.060,1779427881892294758,10
6.076,1779427881908322940,10
6.092,1779427881924253706,10
6.138,1779427881969817723,10
6.168,1779427882000019521,10
6.184,1779427882015856826,10
6.199,1779427882031690047,10
6.215,1779427882047686891,10
6.232,1779427882063892858,10
6.247,1779427882079616414,10
6.264,1779427882095828506,10
6.279,1779427882111447355,10
6.295,1779427882127674905,10
6.312,1779427882143787539,10
6.327,1779427882159451013,10
6.343,1779427882175216277,10
6.359,1779427882191218663,10
6.375,1779427882207189549,10
6.391,1779427882223214685,10
6.407,1779427882238912991,10
6.423,1779427882254973918,10
6.439,1779427882271006429,10
6.455,1779427882286956149,10
6.485,1779427882316857155,10
6.501,1779427882332979123,10
6.517,1779427882348782303,10
