t_rel_s,ts_ns,value
14.065,1779427889897683736,nan
14.137,1779427889969014607,nan
14.199,1779427890031666459,nan
14.263,1779427890095674544,nan
14.331,1779427890162764342,nan
14.397,1779427890228866277,nan
14.492,1779427890324561471,nan
14.539,1779427890371595641,nan
14.612,1779427890443917291,nan
14.676,1779427890507852461,nan
14.733,1779427890565111463,nan
14.807,1779427890639166174,nan
14.873,1779427890705258776,nan
14.946,1779427890778115335,nan
15.001,1779427890833474736,nan
15.064,1779427890896741997,nan
15.158,1779427890989951389,nan
15.201,1779427891033078441,nan
15.269,1779427891101383598,nan
15.332,1779427891164461279,nan
15.397,1779427891229109565,nan
15.465,1779427891296911312,nan
15.533,1779427891365225219,nan
15.597,1779427891429090681,nan
15.665,1779427891497101259,nan
15.742,1779427891574039352,nan
15.808,1779427891640081787,nan
15.875,1779427891707523914,nan
15.944,1779427891776717477,nan
16.009,1779427891841078475,nan
16.074,1779427891906112631,nan
16.142,1779427891974499163,nan
16.208,1779427892040280851,nan
16.265,1779427892097184608,nan
16.332,1779427892164347321,nan
16.402,1779427892233960004,nan
16.463,1779427892295733367,nan
16.531,1779427892363632821,nan
16.601,1779427892433142839,nan
16.666,1779427892497933457,nan
16.735,1779427892567174561,nan
16.798,1779427892630222783,nan
16.876,1779427892708018949,nan
16.941,1779427892772939648,nan
17.002,1779427892834630470,nan
17.092,1779427892924127575,nan
17.138,1779427892969765845,nan
17.199,1779427893030780926,nan
17.281,1779427893112886997,nan
17.332,1779427893164630942,nan
17.398,1779427893229783222,nan
17.467,1779427893299421571,nan
17.537,1779427893369565373,nan
17.613,1779427893444960276,nan
17.667,1779427893499503020,nan
17.742,1779427893574435637,nan
17.808,1779427893640698862,nan
17.878,1779427893710614958,nan
17.937,1779427893768776657,nan
18.003,1779427893835340294,nan
18.076,1779427893908364560,nan
18.135,1779427893967419040,nan
18.205,1779427894037151597,nan
18.274,1779427894106719947,nan
18.343,1779427894174987480,nan
18.409,1779427894241556076,nan
18.471,1779427894302972152,nan
18.536,1779427894368139306,nan
18.609,1779427894440882117,nan
18.672,1779427894503974381,nan
18.743,1779427894575409083,nan
18.809,1779427894640901734,nan
18.877,1779427894708868604,nan
18.936,1779427894767775794,nan
18.999,1779427894831729630,nan
19.065,1779427894897464069,nan
19.141,1779427894973350425,nan
19.225,1779427895056916894,nan
19.273,1779427895105419879,nan
19.338,1779427895170096748,nan
19.397,1779427895229606514,nan
19.478,1779427895310032897,nan
19.539,1779427895371157935,nan
19.609,1779427895440877367,nan
19.673,1779427895504955451,nan
19.730,1779427895562366118,nan
19.806,1779427895638519637,nan
19.873,1779427895705167274,nan
19.937,1779427895769286191,nan
20.003,1779427895835612123,nan
20.073,1779427895905165890,nan
20.132,1779427895964152704,nan
20.209,1779427896041546666,nan
20.270,1779427896102389041,nan
20.340,1779427896172554134,nan
20.407,1779427896239415559,nan
20.471,1779427896303652017,nan
20.535,1779427896367255566,nan
20.607,1779427896439369260,nan
20.678,1779427896510240469,nan
20.736,1779427896567915382,nan
20.808,1779427896640679193,nan
20.864,1779427896696355340,nan
20.937,1779427896768803571,nan
21.003,1779427896834772216,nan
21.066,1779427896898452764,nan
21.142,1779427896974197080,nan
21.203,1779427897035061912,nan
21.270,1779427897102226667,nan
21.340,1779427897172197804,nan
21.405,1779427897237092837,nan
21.470,1779427897302106285,nan
21.538,1779427897369794450,nan
21.625,1779427897457366162,nan
21.674,1779427897506444598,nan
21.739,1779427897570821638,nan
21.802,1779427897634145482,nan
21.873,1779427897705473727,nan
21.943,1779427897774999494,nan
22.001,1779427897833750936,nan
